Candidate,Party,Votes
LAXMI R HEBBALKAR,Indian National Congress,102040
SANJAY B PATIL,Bharatiya Janata Party,50316
KINEKAR MANOHAR KALLAPPA,Independent,23776
PATIL SHIVANAGOUDA S,Janata Dal (Secular),3794
MOHAN YALLAPPA MORE,Independent,925
RAJANEESH ACHARYA,Independent,898
MOHAN REMAJI BELGUNDKAR,Independent,694
LAXMAN SIDDAPPA BOMMANNAVAR,Republican Party of India (A),546
SATISH B GUDAGENATTI,Independent,533
ANWAR K JAMADAR,All India Mahila Empowerment Party,517
SADANAND GANAPAT BHATKANDE,Rashtriya Samaj Paksha,218
MAHAMADRAFIK MULLA,Independent,204
None of the Above,None of the Above,1958
