Candidate,Party,Votes
AMRUT AYYAPPA DESAI,Bharatiya Janata Party,85123
VINAY KULKARNI,Indian National Congress,64783
TIRAKAPPA SADEPPA JAMANAL (SHRIKANT),Janata Dal (Secular),1263
KANTIMATH V RAJASHEKARAYYA,Independent,794
NAGAPPA KAREPPA KARENNAVAR,Janahitha Paksha,651
BASAVARAJ YALLAPPA PARASANNAVAR,Independent,285
SHAKHIL ABDULSATTAR DODAVAD,Independent,284
FIROZKHAN GULABKHAN HAWALDAR,Lok Awaz Dal,170
BASAVARAJ UDDINAKOPPA,Azad Mazdoor Kissan Party,157
SRI S F PATIL,Aam Aadmi Party,153
None of the Above,None of the Above,1967
