Candidate,Party,Votes
G.B. JYOTHI GANESH,Bharatiya Janata Party,60421
N. GOVINDARAJU,Janata Dal (Secular),55128
DR. RAFEEQ AHMED. S.,Indian National Congress,51219
C.THIPPESWAMY,Samanya Janatha Party (Loktantrik),383
R. SHARIFF (AFSAR),Independent,345
PRAKASH R.A. JAIN,Independent,253
NISSAR AHMED (ARIF),All India Mahila Empowerment Party,157
VEERAPPA DEVARU R. S.,Janata Dal (United),131
NAGARAJU R,Independent,119
BABAJAN (DUBAIBABU),Karnataka Pragnyavantha Janatha Party,118
RAJU,Karnataka Jantha Paksha,104
RESHMA MARIAM,Federal Congress of India,95
MANJULA M,Rashtriya Manav Vikas Party,89
None of the Above,None of the Above,1309
