Candidate,Party,Votes
PRATAPGOUDA PATIL,Indian National Congress,60387
BASANAGOWDA-TURVIHAL,Bharatiya Janata Party,60174
RAJASOMANATH NAYAK,Janata Dal (Secular),11392
BASAVANAGAUD,Independent,983
BABU NAYAK,All India Mahila Empowerment Party,910
AMARESH MATUR,Independent,821
None of the Above,None of the Above,2049
