Candidate,Party,Votes
P.RAJEEV,Bharatiya Janata Party,67781
AMIT SHAMA GHATAGE,Indian National Congress,52773
SURESH GURAPPA TALAWAR,Independent,6731
AIHOLE RAJENDRA ANNAPPA,Janata Dal (Secular),1532
SANGEETA GAJENDRA KAMBLE,Independent,1105
SANJEEV BASAPPA KAMBALE,Independent,1045
RAMAPPA BHARAMAPPA BHAJANTRI,Independent,1004
RODKAR YOGESH PANDURANG,Independent,787
ASHOK TAMMANNA GUPTE,Independent,680
SADASHIV C. MANG,Ambedkar Samaj Party,634
AJJAPPAGOL KIRAN MAHADEV,Janahitha Paksha,368
PARSHURAM V. SHINDE,Republican Party of India (A),298
ANNAPPA S. AIGALI,Indian New Congress Party,297
K. NARASAPPA,Independent,246
THAVARASING R. RATHOD,Shivsena,227
ASODE JANGLU SATTYAPPA,Independent,218
DR. JASMIN SALEEM ALASE,Independent,201
RAJU APPASAHEB NIPPANIKAR,Bharatiya Republican Paksha,194
SURENDRA UGARE,Bahujan Mukti Party,184
None of the Above,None of the Above,348
