Candidate,Party,Votes
RAVISUBRAMANYA.L.A,Bharatiya Janata Party,76018
K.BAGEGOWDA,Janata Dal (Secular),38009
M.BOREGOWDA,Indian National Congress,11767
SAKLESHPUR GUNDAPPA SITARAM,Aam Aadmi Party,453
KENCHAIAH.S.,Republican Party of India (A),328
SHARANU.M.,Independent,256
DR.BANU PRAKASH.A.S.,Pyramid Party of India,233
VISHALA ESHWAR,Independent,203
J.VENKATESH,All India Mahila Empowerment Party,187
T.S.MADHURANATH,Independent,149
VEDI.B,Independent,121
B K PRAKASH,Kannada Paksha,120
D.M.BHATTAD,Janata Dal (United),119
H.M.RAMA,Bharatiya Prajagala Kalyana Paksha,116
PADMANABHAN.M.N,Independent,108
None of the Above,None of the Above,1856
