Candidate,Party,Votes
M.V. VEERABHADRAIAH,Janata Dal (Secular),88521
KYATHASANDRA N.RAJANNA,Indian National Congress,69947
RAMESH REDDY S.E.,Bharatiya Janata Party,2911
VEERABHADRESHAIAH,Independent,1532
MUJEEBUR REHMAN,All India Mahila Empowerment Party,740
SRINIVASA,Independent,486
K.R.RAJANNA,Independent,417
RAGHAVENDRA S.V.,Samajwadi Party,175
MARUTHI G.H.,Independent,165
UDAYA KUMARA,Independent,158
K.C.CHOWDAPPA KABATHANAHALLY,Independent,155
SYED MUZAMIL PASHA,Karnataka Pragnyavantha Janatha Party,133
LEADER BHASKAR,Independent,100
B.M.CHOLARAJU ADVOCATE (B.M.C.RAJU),Independent,97
BALARAMA S T,Independent,95
None of the Above,None of the Above,428
