Candidate,Party,Votes
DESHPANDE R.V,Indian National Congress,61577
SUNIL HEGADE,Bharatiya Janata Party,56437
K. R.RAMESH,Janata Dal (Secular),7209
T. R. CHANDRASHEKHAR,Independent,2629
YAMUNA GAONKAR,Communist Party of India (Marxist),1127
KAKKERI BADESAB HUSSAINSAB,All India Mahila Empowerment Party,913
JAHANGIR BABA KHAN,Indian New Congress Party,559
SHANKAR BASAVANT FAKRI,Shivsena,546
ELIYAS KATI,Independent,411
None of the Above,None of the Above,1275
