Candidate,Party,Votes
KOUJALAGI. MAHANTESH. SHIVANAND.,Indian National Congress,47040
JAGDISH. CHANNAPPA METGUD,Independent,41918
VISHWANATH IRANAGOUDA PATIL,Bharatiya Janata Party,37498
SHANKAR. BHARAMAPPA. MADALAGI,Janata Dal (Secular),13548
SUNIL. L. GUDDAKAYU.,Independent,1767
DURAGAMMA BASAPPA YARAZARAVI,All India Mahila Empowerment Party,984
MAHADEV SOMAPPA. KARABASANNAVAR,Independent,693
None of the Above,None of the Above,1352
