Candidate,Party,Votes
PRIYANK KHARGE,Indian National Congress,69700
VALMIK NAIK,Bharatiya Janata Party,65307
DEVARAJA V K,Bahujan Samaj Party,1218
RAJU HADNOOR,All India Mahila Empowerment Party,1136
SABANNA B DODDAMNI,Independent,615
SHANKAR CHAWAN,Independent,612
VINOD ANNA,Independent,418
RUKKAPPA K LEADER,Independent,311
None of the Above,None of the Above,1052
