Candidate,Party,Votes
L. NAGENDRA,Bharatiya Janata Party,51683
VASU,Indian National Congress,36747
K.S RANGAPPA,Janata Dal (Secular),27284
K. HARISH GOWDA,Independent,21282
MALAVIKA GUBBI VANI,Aam Aadmi Party,483
M.K. PRASHANTHA,Karnataka Pragnyavantha Janatha Party,424
M. SOMASHEKAR,Bhaarateeya Janashakthi Congress,241
MALINI .R,Independent,202
M. PANCHALINGU,Independent,140
P. PURUSHOTHAM,Independent,119
MAJEED AHMED,Independent,108
SHANTHI D AWARADI,All India Mahila Empowerment Party,104
M. MANOJ KUMAR,Independent,93
KAVERIYAMMA N.K,Independent,83
None of the Above,None of the Above,1561
