Candidate,Party,Votes
T RAGHUMURTHY,Indian National Congress,72874
RAVEESH KUMAR,Janata Dal (Secular),59335
K T KUMARASWAMY,Bharatiya Janata Party,33471
K P BHUTHAIAH,Swaraj India,1590
None of the Above,None of the Above,1730
