Candidate,Party,Votes
ANAND @ VISHWANATH CHANDRASHEKHAR MAMANI,Bharatiya Janata Party,62480
ANAND CHOPRA,Independent,56189
VISHWAS VASANT VAIDYA,Indian National Congress,30018
SHAMEER KARIMBEG JAMADAR,All India Mahila Empowerment Party,970
DODDAGOUDA FAKIRGOUDA PATIL,Janata Dal (Secular),758
D.B.NAIK,Independent,701
PANCHANAGOUDA KALLAPPA SANAGOUDRA,Samanya Janatha Party (Loktantrik),616
ISHWAR CHANNAPPA MELAGIRI,Janata Dal (United),610
ANGADI MAHESH GURAPPA,Nationalist Congress Party,405
None of the Above,None of the Above,960
