Candidate,Party,Votes
TANVEER SAIT,Indian National Congress,62268
S.SATHEESH (SANDESH SWAMY),Bharatiya Janata Party,44141
ABDUL MAJEED.,SOCIAL DEMOCRATIC PARTY OF INDIA,33284
ABDUL AZEEZ(ABDULLA),Janata Dal (Secular),14709
B M NATARAJU,Samajwadi Party,3471
ANIL KUMAR S,Bhaarateeya Janashakthi Congress,841
VENKATESHA MURTHY K S,Samanya Janatha Party (Loktantrik),436
G.B.SHIVANNA,Independent,386
LOKESH KUMAR G,Independent,315
VAALMIKI NINGARAJU,Independent,166
MOHAMMED THAHER ALI,Namma Congress,155
M.MADHU,Independent,153
JAYANTH D SOUZA,Independent,139
MANGALAGOWRI,All India Mahila Empowerment Party,118
M KHALID,Independent,97
None of the Above,None of the Above,1206
