Candidate,Party,Votes
N. MAHESH,Bahujan Samaj Party,71792
A.R. KRISHNA MURTHY,Indian National Congress,52338
G.N. NANJUNDA SWAMY,Bharatiya Janata Party,39690
CHIKKASAVAKA. S,Republican Party of India (A),1591
NINGARAJ. G,Republican Sena,871
LAKSHMI JAYASHANKARA,All India Mahila Empowerment Party,643
NAGARATHNA. M,Independent,422
None of the Above,None of the Above,1524
