Candidate,Party,Votes
VENKATARAMANAPPA,Indian National Congress,72974
K M THIMMARAYAPPA,Janata Dal (Secular),72565
G.V.BALARAM,Bharatiya Janata Party,14074
G.MUTHYALAPPA,Lok Awaz Dal,796
VENKATAPPA,Samanya Janatha Party (Loktantrik),458
HANUMANTHARAYAPPA,Independent,260
HANUMANTHARAYA.O,Independent,185
MADLETAPPA,Independent,167
RAMESH NAIK.R,Samajwadi Party,153
P.MURTHY,All India Mahila Empowerment Party,149
DUGGAMMA,Independent,117
B.T.RAMASUBBAIAH,BhartiyaBahujanKranti Dal,111
L.GANGADHARA,Independent,108
None of the Above,None of the Above,794
