Candidate,Party,Votes
GANESH PRAKASH HUKKERI,Indian National Congress,91467
ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,80898
SADASHIVAPPA MARUTI WALKE,Bahujan Samaj Party,2935
ANNAPURNA CHANNAPPA ASURKAR,All India Mahila Empowerment Party,794
SOMANATH GANGAYYA HIREMATH,Independent,734
SUNIL ANNASAB K.KHOT,Independent,282
MOHAN GURAPPA MOTANNAVAR,Independent,244
APPASAHEB SHRIPATI KURANE,Bharatiya Republican Paksha,198
DADA VASANT PATIL,Independent,147
JITENDRA SUBHASH NERLE,Independent,139
None of the Above,None of the Above,1363
