Candidate,Party,Votes
K.S. ESHWARAPPA,Bharatiya Janata Party,104027
K.B. PRASANNA KUMAR,Indian National Congress,57920
H.N. NIRANJAN,Janata Dal (Secular),5796
RAVIKISHAN,Independent,671
A.YASEEN MUBARAK,Independent,598
G.NARASIMHAMURTHY (BABANNA),Independent,572
MOHAMMED YUSUF KHAN,All India Mahila Empowerment Party,397
SHAFINAZ BEGAM,Independent,327
DR.NARENDRA P.L.,Independent,195
GO.RAMESH GOWDA,Jana Samanyara Party (Karnataka),152
S VASANTHA KUMAR,Independent,120
NOOR AHMED N.,Independent,118
B.S.SRINATH (CHINNY),Independent,112
M.RAMESH,Republican Sena,101
B.CHANNABASAPPA,Independent,77
CHANDRASHEKHAR H.G.,Independent,73
SUREKHA.P.V.,Proutist Bloc, India,67
KHAJA GAREEBUN NAWAB M,Independent,59
M.SAMIULLA,Namma Congress,52
ASHOK DODDA THALAVAR,Independent,45
None of the Above,None of the Above,875
