Candidate,Party,Votes
BASAWARAJ MATTIMUD,Bharatiya Janata Party,61750
VIJAYKUMAR G RAMAKRISHNA,Indian National Congress,49364
REVU NAIK BELAMAGI,Janata Dal (Secular),29538
AMBALAGA MARUTI MANAPADE,Communist Party of India (Marxist),3491
GIRISH BAILAPPA KAMBANAVAR,Independent,2133
GANAPATH RAO K MANE,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1044
SUJATA,All India Mahila Empowerment Party,799
VIJAY JADHAV,Independent,593
SHIVASHARANAPPA MARUTIRAO,Independent,541
RAMESH BHIMSINGH,Independent,482
SHANKAR JADHAV,Bharatiya Peoples Party,431
MANJUNATH ANNAPPA,Independent,394
BHARATA KUMAR D KUMSI,Independent,323
None of the Above,None of the Above,1612
