Candidate,Party,Votes
NAGANGOUDA KANDKUR,Janata Dal (Secular),79627
BABURAO CHINCHANSUR,Indian National Congress,55147
SAYIBANNA,Bharatiya Janata Party,8995
CHANDRASHEKAR T.DASANKERI,Indian New Congress Party,1392
K. SOMASHEKAR,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1272
SATYANARAYANA YADAV,Samajwadi Party,584
ASHOK,Namma Congress,569
BABANKUMAR,BhartiyaBahujanKranti Dal,543
VENKATESH,Dr. Ambedkar People's Party,427
JAFAR HUSSAIN,All India Mahila Empowerment Party,386
BHASKAR,Bharatiya Prajagala Kalyana Paksha,333
PAPANNA,Hindustan Janta Party,281
None of the Above,None of the Above,2418
