Candidate,Party,Votes
SOMANAGOUDA B PATIL (SASANUR),Bharatiya Janata Party,48245
BHIMANAGOUDA (RAJUGOUDA) B PATIL,Janata Dal (Secular),44892
B S PATIL (YALAGI),Indian National Congress,38038
ASIF HERKAL,Aam Aadmi Party,3111
SIDRAMAPPA NAGAPPA MATHAD,Independent,878
KIRAN SIDRAMAYYA SOULABAVIMATH,All India Mahila Empowerment Party,855
SHREEKANT SOMALU RATHOD,Independent,682
PUNDALIK RAYAPPA HANDIGANOOR,Independent,332
ABDUL RAHIMAN DUNDASI,Independent,322
BHIMAPPA CHANDAPPA PADEKANOOR,Independent,295
DHARMAPPA CHANDAPPA NATIKAR,Independent,290
None of the Above,None of the Above,1139
