Candidate,Party,Votes
UDAY B.GARUDACHAR,Bharatiya Janata Party,57312
R.V.DEVRAJ,Indian National Congress,49378
MUJAHID PASHA.A,SOCIAL DEMOCRATIC PARTY OF INDIA,11700
DR D.HEMACHANDRA SAGAR,Janata Dal (Secular),6286
BHARAT SANGHVI,Independent,487
RAKESH KUMAR SHUKLA,Independent,442
BASAVARAJ VAIJANATH JEMSHETTY,Independent,261
R.SHEKAR,Independent,213
AFSAR KHAN. R.K,All India Mahila Empowerment Party,171
PRAVEEN.V.K,Independent,140
RAJENDRA KUMAR M. SOLANKI,Independent,136
THYAGARAJ,Republican Sena,115
M.SRINIVASA MURTHY,Independent,94
SYED SHAZAD AHMED,Independent,88
PURANDARA UPADHYAYA G,Independent,87
SYED IQBAL,Independent,81
N. KISHORE KUMAR,Akhil Bharat Hindu Mahasabha,78
ARUN PRASAD. A,Independent,66
SADAT ALI,Independent,65
SYED RIYAZ,Independent,64
N.MUNIYPPA,Republican Party of India,56
ASGAR A MOHIN S M,Independent,53
SHIVAKUMAR.K.S,Independent,51
SHAFIULLA SHARIFF,Independent,46
B. CHIKKANAGESHA,Independent,43
C.NANJUNDAPPA,Independent,36
P. AMARNATH,Independent,31
None of the Above,None of the Above,1340
