Candidate,Party,Votes
M. CHANDRAPPA,Bharatiya Janata Party,107976
H.ANJANEYA,Indian National Congress,69036
SRINIVASA GADDIGE. T,Janata Dal (Secular),3553
HANUMANTHAPPA DURGA,Independent,1782
M.HANUMAKKA,Independent,1402
G.SHANTHAPPA,Independent,1015
C.T. VISWANATHA,Independent,684
NIRANJANA.A.D. CHEELANGI,Ambedkar Samaj Party,523
HULAPPA.R,Independent,281
DAYANANDA .T,Bhaarateeya Janashakthi Congress,268
H.VITTAL NAIK,Independent,258
S.THIPPESWAMY,Republican Sena,215
H.RAMACHANDRAPPA,Janata Dal (United),203
G.N.PARAMESHA,Indian New Congress Party,191
HOLIYAPPA.K,Independent,144
A.BASAVARAJAPPA,Independent,139
M.H.SHASHIDHAR,Karnataka Pragnyavantha Janatha Party,119
H.ANJANEYA,Independent,113
M.DURUGESHAPPA,Independent,94
S.MEETYA NAIK,Samajwadi Party,92
None of the Above,None of the Above,398
