Candidate,Party,Votes
D. S. HOOLAGERI,Indian National Congress,54230
BANDI.SIDDU,Janata Dal (Secular),49284
MANAPPA D VAJJAL,Bharatiya Janata Party,47385
R MANASAYYA,Communist Party of India (Marxist-Leninist) Red Star,2334
A BALASWAMY KODLI,Independent,2056
HANUMANTA KAREKALLU,Indian New Congress Party,1627
SOMALINGA DUBARI,Independent,1359
SHIVAPUTRA CHALUVADI,Independent,1301
SHRINIVAS BHOVI,Independent,1221
NAGARAJ MOTI,Independent,657
HONNAPPA,All India Mahila Empowerment Party,621
None of the Above,None of the Above,2074
