Candidate,Party,Votes
K.B. ASHOK NAIK,Bharatiya Janata Party,69326
SHARADA PURYANAIK,Janata Dal (Secular),65549
DR.SREENIVAS KARIYANNA,Indian National Congress,33493
MAMATHA RANI,Independent,951
MANIKANTA B.L.,Independent,610
S. KRISHNA,All India Mahila Empowerment Party,570
L.RANGASWAMY,Republican Sena,421
None of the Above,None of the Above,1328
