Candidate,Party,Votes
RAHIM KHAN,Indian National Congress,73270
SURAYAKANTH NAGMARPALLI,Bharatiya Janata Party,63025
M MUNIYAPPA,Bahujan Samaj Party,1384
KHAYAMUDDIN,National Development Party,568
MD GULAM ALI,Independent,408
MOHD NASER KHAN,All India Mahila Empowerment Party,378
MALLAPPA,Independent,258
ABDUL RAZAK,Independent,186
SWAMIDAS,Dr. Ambedkar People's Party,182
ISHWAR KANERI,Independent,163
SRAVAN,Karunaadu Party,111
None of the Above,None of the Above,690
