Candidate,Party,Votes
S A RAMADAS,Bharatiya Janata Party,78573
M K SOMASHEKAR,Indian National Congress,52226
MALLESH K V,Janata Dal (Secular),11607
B SOMASHEKAR,Independent,413
M D PARTHASARATHY,Independent,399
B K ARAVIND,Kannada Paksha,370
RACHAPPA G,Independent,301
SUCHITHRA,Independent,289
JANAKI M C,Bhaarateeya Janashakthi Congress,178
SREENIVAS S,Independent,153
P KUMARASWAMY,Independent,149
K M JAYANTH,Karnataka Pragnyavantha Janatha Party,145
RAVI N,Independent,131
VIJAYAKUMAR D,Republican Sena,114
D N KRISHNAMURTHY,Independent,101
BHANUMOHAN,Swaraj India,99
M NANJAPPA,Independent,81
S JAGADEESH,Independent,72
B H SHIVAKUMAR,Karnataka Jantha Paksha,66
None of the Above,None of the Above,1441
