Candidate,Party,Votes
VENKATRAO NADAGOUDA,Janata Dal (Secular),71514
BADARLI HAMPANGOUDA,Indian National Congress,69917
KOLLA SHESHAGIRIRAO,Bharatiya Janata Party,14795
DR.JALALUDDIN AKBAR,Janata Dal (United),1240
SURESH GOUDA MUNDINAMANE,Independent,794
NANA SAHUKAR ATTAR,Independent,709
SHIVALINGA KODLI,Independent,546
HANUMANTHAPPA UPPAR,Independent,333
SHANTAPPA,Independent,312
M.M.ANANDA KUMAR,Independent,307
BASAVANAGOUDA,Samanya Janatha Party (Loktantrik),305
YANKAYYA SHETTY,Namma Congress,268
LAKSHMI DEVI BETTAN GOWDA,All India Mahila Empowerment Party,243
SHARIFSAB DODDAMANI,Independent,219
CHANNABASAYYA SWAMY C.B.,Independent,218
RAMANNA EARALAGADDI,Independent,201
SHABBIR,Karnataka Jantha Paksha,199
None of the Above,None of the Above,1344
