Candidate,Party,Votes
DR. SHIVARAJ PATIL,Bharatiya Janata Party,56511
SYED YASEEN,Indian National Congress,45520
MAHANTESH PATIL,Janata Dal (Secular),7796
E ANJANEYA,Independent,5701
SYED MASOOM,Independent,1290
KAVITHA G H,Independent,778
SRIHARI S,Nationalist Congress Party,662
EARESH KUMAR,Independent,647
CHAND PASHA,Indian New Congress Party,478
JAYABHEEMA,Independent,477
ANJANAYYA AYYALAPPA,Independent,371
RAJACHANDRA RAMANGOUDA,Shivsena,342
NOOR MOHAMMED,Independent,312
CHANNAPPA GOUDA ALKOD,Independent,293
MAHEBUB,Aam Aadmi Party,282
SRINIVAS,Janahitha Paksha,279
SYED BASHA QHADRI,Independent,240
INDRAMMA,Independent,226
MOHAMMED JAMEEL AHMAD,All India Mahila Empowerment Party,199
BHANDARI VEERANNA SETTY,Independent,169
MAHENDRA KUMAR MITRA,Dr. Ambedkar People's Party,165
K M RANGANATH REDDY,Prabuddha Republican Party,127
TANAJI,Independent,103
MAHADEV,Independent,89
MIRZA KALEEM BAIG,Independent,86
RAMANNA R H J,Independent,83
RAMAKRISHNA,Independent,79
None of the Above,None of the Above,587
