Candidate,Party,Votes
J K KRISHNA REDDY,Janata Dal (Secular),87753
DR.M.C SUDHAKAR,Bharatiya Praja Paksha,82080
VANI KRISHNAREDDY,Indian National Congress,2233
NAA SHANKAR,Bharatiya Janata Party,1961
N.R SUDHAKAR,Independent,1425
T.C VENKATESHREDDY,Independent,794
SRINATHA. L.V,Dr. Ambedkar People's Party,784
BHASKAR ANKALAMADUGU SHIVAREDDY,Independent,384
SURESH Y.N,Rashtriya Manav Vikas Party,357
M. SUDHAKAR,Independent,286
G.S SHUBHASH,Independent,276
SUDHAKARAREDDY K.V,Independent,227
KRISHNAREDDY,Independent,220
DR.S. RACHANA,Independent,192
SYED ALEEM PASHA,Ambedkar National Congress,150
GHOUSE KHAN,All India Mahila Empowerment Party,126
T.S SUDHAKARAREDDY,Independent,126
KRISHNA REDDY .M,Independent,122
JAMEER PASHA,Ambedkar Samaj Party,119
SYED AYUB,Federal Congress of India,108
R. SUDHAKAR,Independent,88
M. KRISHNA REDDY,Independent,66
None of the Above,None of the Above,877
