Candidate,Party,Votes
C PUTTARANGASHETTY,Indian National Congress,75963
K R MALLIKARJUNAPPA,Bharatiya Janata Party,71050
A M MALLIKARJUNASWAMY (ALUR MALLU),Bahujan Samaj Party,7134
VATAL NAGARAJ,Kannada Chalavali Vatal Paksha,5977
M HONNURAIAH,Independent,904
NARAYANASWAMY J,Samanya Janatha Party (Loktantrik),556
RANGASWAMY,Independent,552
SURESHA B N,Independent,540
SARASWATHI M R,All India Mahila Empowerment Party,523
LAWYER CHINNASWAMY M,Independent,506
M S MALLIKARJUN,Independent,441
PRASANNAKUMAR B,Independent,360
S GANESH,Bharatiya Dr. B.R.Ambedkar Janta Party,279
NAGASUNDARA D,Bharatiya Republican Paksha,263
None of the Above,None of the Above,2063
