Candidate,Party,Votes
KALAKAPPA BANDI,Bharatiya Janata Party,83735
GURUPADAGOUDA PATIL,Indian National Congress,76401
RAVINDRANATH JAMBUNATH DODDAMETI,Janata Dal (Secular),3421
SUNILKUMAR BAHMANAPAD,Independent,1813
MALLIKARJUN HADAPAD,Communist Party of India (Marxist),1177
SHARANAPPA DHARMAYAT,Independent,318
G A LAXMINARAYANAGOUDA,Independent,232
SAYYAD KHALID KOPPAL,All India Mahila Empowerment Party,226
ASHOK BEVINAKATTI,Shivsena,170
PAKIRAPPA TEGGINAMANI,Independent,130
PRAMOD,Independent,103
BASAVARAJ DESAYI,Janata Dal (United),83
NAGARATNA CHANDRASHEKAR DESAYI,Rani Chennamma Party,81
None of the Above,None of the Above,2671
