Candidate,Party,Votes
B. M. SUKUMAR SHETTY,Bharatiya Janata Party,96029
K. GOPALA POOJARY,Indian National Congress,71636
SURESH KALLAGAR,Communist Party of India (Marxist),2415
RAVI SHETTY,Janata Dal (Secular),1911
B. SUBRAMANYA BIJOOR,Independent,941
H SURESH POOJARI,Independent,783
ABDUL HAJEED,All India Mahila Empowerment Party,666
MARAKALA MANJUNATHA BASAVA,Independent,401
MANJUNATHA NAIK KOLLUR,Independent,297
None of the Above,None of the Above,1647
