Candidate,Party,Votes
ANIL KUMAR C,Indian National Congress,76652
CHIKKANNA,Janata Dal (Secular),54559
SIDDARAJU,Bharatiya Janata Party,34425
J K GOPALA,Bharatiya Republican Paksha,1763
M S SHIVAKUMAR,Independent,760
G N DEVADATTA,Samanya Janatha Party (Loktantrik),666
MANJULA N V,Samajwadi Party,632
None of the Above,None of the Above,1596
