Candidate,Party,Votes
UMANATHA. A. KOTIAN,Bharatiya Janata Party,87444
K. ABHAYACHANDRA,Indian National Congress,57645
ASHWIN JOSSY PEREIRA,Independent,2111
JEEVAN KRISHNA SHETTY,Janata Dal (Secular),1845
K. YADAVA SHETTY,Communist Party of India (Marxist),1114
ABDUL REHIMAN,All India Mahila Empowerment Party,616
REENA PINTO,Independent,435
None of the Above,None of the Above,1037
