Candidate,Party,Votes
UMESH VISHWANATH KATTI,Bharatiya Janata Party,83588
APPAYYAGOUDA BASAGOUDA PATIL,Indian National Congress,68203
MALLIKARJUN BABAGOUD PATIL,Janata Dal (Secular),1426
SANJEEV B MAGADUM,Independent,1064
SUBASH BABU KASARAKAR,Shivsena,413
SHAHJAHAN ABDULKHADAR BHADAGAVI,Independent,360
RAMAPPA MALLAPPA KURABETI,Independent,261
IMAMHUSAIN PEERZADE,Independent,236
RAMACHANDRA GURUSIDDAPPA KAMMAR,Nationalist Congress Party,214
H.GIRIRAJA,Independent,171
NAZIRAHMED DASTGEERSAB MULLA,Independent,121
None of the Above,None of the Above,1830
