Candidate,Party,Votes
MURUGESH RUDRAPPA NIRANI,Bharatiya Janata Party,85135
JAGADISH TIMMANAGOUDA PATIL,Indian National Congress,80324
SANGAPPA TIPPANNA KANDAGAL,Janata Dal (Secular),1773
ASHVINI DESAI,Bhaarateeya Janashakthi Congress,1258
MEERASAB MOULASAB SHAIKH,Independent,1187
MANSURSAB BABAJAN MUJWAR,Independent,1139
BADSHAHA MAHAMMADSAB KOUJALAGI,Independent,420
REKHA LAXMANRAO NAIKAR,All India Mahila Empowerment Party,263
BASIRAMMAD SAIFANSAB DADIWALE,Independent,203
VINAYAK PRALHAD SHINDHE,Shivsena,189
NARENDRABABU P.J,Independent,184
MUNIRAHMAD MALLIKASAB KHAJI,Indian New Congress Party,168
SHRISHAILAPPA GHATABASAPPA PASAR,Jansatta Party,121
KUSAPPA SHIVALINGAPPA CHALAWADI,Independent,106
None of the Above,None of the Above,848
