Candidate,Party,Votes
D S SURESH,Bharatiya Janata Party,44940
G H SRINIVASA,Independent,33253
H M GOPI,Independent,29663
S M NAGARAJU,Indian National Congress,20402
T H SHIVASHANKARAPPA,Janata Dal (Secular),14574
KHALEEL,Republican Sena,2096
AKSHAY L B,Karnataka Pragnyavantha Janatha Party,1236
SRINATH S,Independent,751
D C SURESH,Independent,693
SADIQ PASHA,Independent,517
KANTHARAJA N S,Independent,391
MANJUNATH B S,All India Mahila Empowerment Party,319
None of the Above,None of the Above,758
