Candidate,Party,Votes
C M UDASI,Bharatiya Janata Party,80529
MANE SRINIVAS,Indian National Congress,74015
CHANDRAPPA JALAGAR,Independent,4263
HANAMANTAPPA C TALAVAR,Independent,1176
BOMMANAHALLI BABU,Janata Dal (Secular),1028
UDACHAPPA BASAVANNEPPA UDDANAKAL,Independent,839
AKKIVALLI HONNAPPA HANAMANTAPPA,Independent,508
MAHABOOBALI SAGGUMANAVAR,Independent,311
SHIDDAPPA KALLAPPA PUJAR,Independent,267
RAVI LAMANI,Independent,198
RAMAPPA SIDDAPPA BOMMOJI,Independent,132
None of the Above,None of the Above,731
