Candidate,Party,Votes
C S PUTTARAJU,Janata Dal (Secular),96003
DARSHAN PUTTANNAIAH,Swaraj India,73779
SUNDAHALLI SOMASHEKARA,Bharatiya Janata Party,1595
B.K.PUTTARAJU,Independent,689
MAHESH VAKEELARU,All India Mahila Empowerment Party,498
DARSHAN.K.SEENEGOWDA,Independent,301
D K RAVIKUMARA,Independent,260
MAHESHA,Jana Samanyara Party (Karnataka),210
PUTTARAJU,Independent,163
ROHINI,Samajwadi Party,153
ARUNKUMAR,Independent,133
H NARAYANA,Independent,117
G.M.RAMESH,Karnataka Jantha Paksha,85
None of the Above,None of the Above,979
