Candidate,Party,Votes
C M NIMBANNAVAR,Bharatiya Janata Party,83267
SANTOSH S LAD,Indian National Congress,57270
RAJU R KALAGHATAGI,Independent,4898
AMBADAGATTI SHIVANAND RUDRAPPA,Janata Dal (Secular),1174
INAYATULLA MAKTUMHUSEN TOLAGI,BhartiyaBahujanKranti Dal,710
SHANKAR NINGAPPA HUDDAR,Independent,683
BABAJAN IMAMSAB TADKOD,Independent,453
SHRINIVAS C K KONDAYYA VEMU,Independent,402
RAJESAB MOULASAB DARAGAD,Independent,331
KULAKARNI SUVARNA GOVINDROA,Jana Samanyara Party (Karnataka),294
MAHABOOBSAB (PEERA) MADARASAB MAKANADAR,Independent,260
IRAPPA SOMAPPA KALE,Shivsena,244
BASAPPA RAMAPPA AIHOLLI,All India Mahila Empowerment Party,197
SHANKAR SANGAPPA ROTTIGAWAD,Karnataka Jantha Paksha,175
VEERUPAKSHI BASAVANTAPPA BADIGER,Sarva Janata Party,104
None of the Above,None of the Above,1440
