Candidate,Party,Votes
E TUKARAM,Indian National Congress,78106
D RAGHAVENDRA (MANJU),Bharatiya Janata Party,64096
BANGARA HANUMANTA,Independent,7191
B VASANTH KUMAR,Janata Dal (Secular),4343
A.RAMANJANAPPA,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1243
CHETAN.N,All India Mahila Empowerment Party,928
None of the Above,None of the Above,1803
