Candidate,Party,Votes
C N BALAKRISHNA,Janata Dal (Secular),105516
C S PUTTEGOWDA,Indian National Congress,52504
SHIVANANJEGOWDA,Bharatiya Janata Party,7506
DWARAKISH,All India Mahila Empowerment Party,415
BOJEGOWDA,Samanya Janatha Party (Loktantrik),414
None of the Above,None of the Above,906
