Candidate,Party,Votes
AJAY DHARAM SINGH,Indian National Congress,68508
DODDAPPAGOWDA S. PATIL NARIBOL,Bharatiya Janata Party,52452
KEDARLINGAYYA HIREMATH,Janata Dal (Secular),35691
PRABHU KALAPPA,All India Mahila Empowerment Party,856
VAKIL PATEL S/O KHAJAPATEL,Independent,813
SIDDAPPA HUGAR,Independent,732
PRAVEENKUMAR BASAYYA KUNTOJIMATH,Shivsena,478
RAMU S/O CHATRU CHAVHAN,Independent,318
BHIMAYYA SOMAYYA,Independent,238
NAGESH S/O VEERANNA,Independent,229
DARMAN,Independent,121
None of the Above,None of the Above,1310
