Candidate,Party,Votes
B.A.BASAVARAJA,Indian National Congress,135404
N.S.NANDIESHA REDDY,Bharatiya Janata Party,102675
D.A.GOPALA,Janata Dal (Secular),6578
GOPALA GOWDA H N,Communist Party of India (Marxist),1108
PVKN LINGARAJ URS,Aam Aadmi Party,1103
RAJAKUMAR.K.T,Independent,791
VENKATESASETTY,Independent,546
P P APPANNA,Communist Party of India (Marxist-Leninist) (Liberation),535
S VENKATESH,Independent,398
K MANJUNATH,Independent,389
LAKSHMI RAMAIAH SHETTY,Bhaarateeya Janashakthi Congress,336
B.S.NARENDRABABU,Independent,302
SYED TASEEN,All India Mahila Empowerment Party,196
S GEETHA,Republican Sena,191
H P MANJUNATHA REDDY,Independent,183
PARVATHAMMA,Independent,180
SYED AFZAL HUSSAIN,Independent,147
PRAKASH M,Independent,134
RAMAKRISHNA L,Rashtriya Manav Vikas Party,127
DASHARATHA RANAPPA TEGNOOR,Independent,115
ERUDIARAJ.J,Independent,92
None of the Above,None of the Above,2464
