Candidate,Party,Votes
SHRIMANT BALASAHEB PATIL,Indian National Congress,83060
BHARAMAGOUDA ALAGOUDA KAGE,Bharatiya Janata Party,50118
KALLAPPA PARIS MAGENNAVAR,Janata Dal (Secular),7337
DIVAKAR RAMACHANDRA POTADAR,Sarva Janata Party,1004
GANAPATI BHUTALI MOLEKAR,Independent,784
MURAGEPPA NINGAPPA DEVAREDDI,Independent,580
BHIMAGOUDA SHANKAR KHOT,All India Mahila Empowerment Party,533
SANJAY HONAKHANDE,Jana Samanyara Party (Karnataka),305
SAROJANI-AKKA M ARAGE,Janahitha Paksha,279
BAHUSAB ASHOK NAIK URF DAVALE,Indian New Congress Party,257
BALASAHEB RAVSAHEB RAO,Aam Aadmi Party,243
SACHIN ALAGURE,Bharatiya Republican Paksha,210
NASIRKHAN GAJIMAMMAD PATHAN,Republican Party of India (A),150
DR. RIZWAN BALEKUNDARI,Bahujan Mukti Party,121
None of the Above,None of the Above,754
